,year,fall_count,grad_count,major,univ
0,1994,252,0,Econ,gmu
1,1995,223,0,Econ,gmu
2,1996,184,0,Econ,gmu
3,1998,135,0,Econ,gmu
4,1999,164,26,Econ,gmu
5,2000,194,52,Econ,gmu
6,2001,241,67,Econ,gmu
7,2002,275,102,Econ,gmu
8,2003,318,100,Econ,gmu
9,2004,320,96,Econ,gmu
10,2005,362,112,Econ,gmu
11,2006,358,129,Econ,gmu
12,2007,329,105,Econ,gmu
13,2008,373,106,Econ,gmu
14,2009,426,120,Econ,gmu
15,2010,463,137,Econ,gmu
16,2011,505,152,Econ,gmu
17,2012,522,190,Econ,gmu
18,2013,515,170,Econ,gmu
19,2014,507,186,Econ,gmu
20,2015,505,147,Econ,gmu
21,2016,487,164,Econ,gmu
22,2017,446,151,Econ,gmu
23,2018,418,136,Econ,gmu
