,year,fall_count,grad_count,major,univ
0,1994,66,0,Econ,rad
1,1995,54,0,Econ,rad
2,1996,41,0,Econ,rad
3,1998,51,0,Econ,rad
4,1999,54,18,Econ,rad
5,2000,52,9,Econ,rad
6,2001,41,19,Econ,rad
7,2002,63,12,Econ,rad
8,2003,74,24,Econ,rad
9,2004,63,26,Econ,rad
10,2005,71,20,Econ,rad
11,2006,64,34,Econ,rad
12,2007,61,22,Econ,rad
13,2008,52,24,Econ,rad
14,2009,39,23,Econ,rad
15,2010,49,13,Econ,rad
16,2011,56,20,Econ,rad
17,2012,64,23,Econ,rad
18,2013,61,19,Econ,rad
19,2014,67,18,Econ,rad
20,2015,95,16,Econ,rad
21,2016,112,26,Econ,rad
22,2017,112,34,Econ,rad
23,2018,81,30,Econ,rad
