,year,fall_count,grad_count,major,univ
0,1994,33,0,Econ,umw
1,1995,46,0,Econ,umw
2,1996,46,0,Econ,umw
3,1998,47,0,Econ,umw
4,1999,40,19,Econ,umw
5,2000,43,17,Econ,umw
6,2001,47,19,Econ,umw
7,2002,85,27,Econ,umw
8,2003,86,33,Econ,umw
9,2004,77,38,Econ,umw
10,2005,59,23,Econ,umw
11,2006,67,27,Econ,umw
12,2007,89,33,Econ,umw
13,2008,89,42,Econ,umw
14,2009,97,41,Econ,umw
15,2010,80,35,Econ,umw
16,2011,80,24,Econ,umw
17,2012,96,28,Econ,umw
18,2013,94,40,Econ,umw
19,2014,68,34,Econ,umw
20,2015,59,25,Econ,umw
21,2016,59,21,Econ,umw
22,2017,51,22,Econ,umw
23,2018,47,21,Econ,umw
