,year,fall_count,grad_count,major,univ
0,1994,241,0,Econ,uva
1,1995,305,0,Econ,uva
2,1996,404,0,Econ,uva
3,1998,567,0,Econ,uva
4,1999,601,277,Econ,uva
5,2000,749,394,Econ,uva
6,2001,767,411,Econ,uva
7,2002,796,404,Econ,uva
8,2003,687,396,Econ,uva
9,2004,651,361,Econ,uva
10,2005,664,342,Econ,uva
11,2006,666,344,Econ,uva
12,2007,955,414,Econ,uva
13,2008,809,310,Econ,uva
14,2009,674,390,Econ,uva
15,2010,647,406,Econ,uva
16,2011,525,373,Econ,uva
17,2012,450,312,Econ,uva
18,2013,532,375,Econ,uva
19,2014,543,386,Econ,uva
20,2015,626,441,Econ,uva
21,2016,606,425,Econ,uva
22,2017,615,399,Econ,uva
23,2018,714,485,Econ,uva
