,year,fall_count,grad_count,major,univ
0,1994,50,0,Econ,vcu
1,1995,46,0,Econ,vcu
2,1996,37,0,Econ,vcu
3,1998,35,0,Econ,vcu
4,1999,38,14,Econ,vcu
5,2000,35,13,Econ,vcu
6,2001,47,10,Econ,vcu
7,2002,57,27,Econ,vcu
8,2003,80,33,Econ,vcu
9,2004,81,32,Econ,vcu
10,2005,82,32,Econ,vcu
11,2006,73,22,Econ,vcu
12,2007,93,29,Econ,vcu
13,2008,83,32,Econ,vcu
14,2009,117,47,Econ,vcu
15,2010,134,43,Econ,vcu
16,2011,149,65,Econ,vcu
17,2012,179,59,Econ,vcu
18,2013,190,62,Econ,vcu
19,2014,229,79,Econ,vcu
20,2015,243,82,Econ,vcu
21,2016,211,100,Econ,vcu
22,2017,174,61,Econ,vcu
23,2018,151,69,Econ,vcu
