,year,fall_count,grad_count,major,univ
0,1994,76,0,Econ,w&m
1,1995,99,0,Econ,w&m
2,1996,111,0,Econ,w&m
3,1998,125,0,Econ,w&m
4,1999,220,96,Econ,w&m
5,2000,237,87,Econ,w&m
6,2001,261,84,Econ,w&m
7,2002,217,116,Econ,w&m
8,2003,147,89,Econ,w&m
9,2004,163,94,Econ,w&m
10,2005,182,116,Econ,w&m
11,2006,166,96,Econ,w&m
12,2007,225,110,Econ,w&m
13,2008,212,118,Econ,w&m
14,2009,187,92,Econ,w&m
15,2010,198,111,Econ,w&m
16,2011,210,97,Econ,w&m
17,2012,243,132,Econ,w&m
18,2013,312,119,Econ,w&m
19,2014,342,150,Econ,w&m
20,2015,318,166,Econ,w&m
21,2016,326,121,Econ,w&m
22,2017,337,157,Econ,w&m
23,2018,342,157,Econ,w&m
